standardized_smiles,PBT_label
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,1
C=C(F)C(=O)OC,0
S=c1[nH]c2ccccc2s1,0
O=S(=O)(O)C(F)(F)F,0
COC1(c2ccc(F)cc2)CCC(NCCCOc2ccc(F)cc2)CC1,1
NN=C(c1ccccc1)c1ccccc1,0
CC(=CCO)CCCC(C)CCCC(C)CCCC(C)C,0
O=P(O)(O)OCC(O)CO,0
Clc1ccc(CC(=CCN2CCCC2)c2ccccc2)cc1,1
O=C1c2c(Br)c(Br)c(Br)c(Br)c2C(=O)N1CCN1C(=O)c2c(Br)c(Br)c(Br)c(Br)c2C1=O,0
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,0
O=C(Nc1ccc(S(=O)(=O)Cl)cc1NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
FC(F)(F)F,0
OCC#CCO,0
O=[N+]([O-])[O-],0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc(P(c2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,1
OC(O)C(Cl)(Cl)Cl,0
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O,0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,0
CN1CCC(Cl)CC1,0
CN(C)c1ccc(P(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,1
CN(C)c1ccc(C(=C2C=CC(=Nc3ccccc3)c3ccccc32)c2ccc(N(C)C)cc2)cc1,0
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,0
CCc1cc(CC)c2sc3ccccc3c(=O)c2c1,0
FC(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
CC(C)c1ccccc1-c1ccccc1,0
O=C1CCC(C(=O)Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)N1,1
ClCCCN1CCN(c2cccc(Cl)c2)CC1,0
O=[N+]([O-])c1ccccc1-c1ccc(Cl)cc1,0
C=C(Br)C(F)(F)F,0
CC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1C(F)(F)F,0
O=P(O)(O)OP(=O)(O)O,0
C=C(C)CC(C)(C)C,0
C[Si](Cl)(Cl)CCC(F)(F)F,0
O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0
O=Cc1ccccc1Cl,0
CCCCCCCCC=CCCCCCCCCO,0
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,1
FC(F)=C(F)C(F)(F)F,0
Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(OP(=O)(O)O)cc2C)OC(=O)c2ccccc21,1
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,1
CC(F)F,0
CCCCCCCCCCCCCCCCCCNC(=O)C=CC(=O)O,0
CN(C)C(=S)S,0
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,0
N#Cc1ccccc1C=Cc1ccc(C=Cc2ccccc2C#N)cc1,0
O=S(=O)(Cl)c1ccccc1,0
CC(C)(ON)C(=O)O,0
CC(C)(C)c1ccc(OP(=O)(Cl)Oc2ccc(C(C)(C)C)cc2)cc1,1
C[Pb](C)(C)C,1
ON=C(Cc1ccccc1)c1ccccc1,0
NC(CSSCC(N)C(=O)O)C(=O)O,0
Fc1ccc(Br)cc1,0
CC(=O)C=C(C)O,0
COc1cccc(Br)c1,0
NCCBr,0
CC1(C)OC(CP(c2ccccc2)c2ccccc2)C(CP(c2ccccc2)c2ccccc2)O1,1
O=C(O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)O,0
CC(COCC(C)OP(Oc1ccccc1)Oc1ccccc1)OP(Oc1ccccc1)Oc1ccccc1,1
C[Si](C)(C)O,0
N=C(N)N,0
CCN(CC)c1ccc(N(c2ccc(N(CC)CC)cc2)c2ccc(N(CC)CC)cc2)cc1,1
CC(C)(C)OOC(C)(C)C#CC(C)(C)OOC(C)(C)C,0
O=C(Cl)c1cccc(C(=O)Cl)c1,0
CCc1c(C)cc(N)c(CC)c1N,0
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,0
Nc1c(Cl)cc(C(F)(F)F)cc1Cl,0
CO[Si](OC)(c1ccccc1)c1ccccc1,0
CC(C)=CCCC(C)CC#N,0
Clc1ccccn1,0
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1N(C)C)c1ccccc1,1
CCOC(=O)C=C(C)O,0
CO,0
NN=C(N)N,0
Nc1cc(Cl)c(Cl)cc1[N+](=O)[O-],0
O=c1c(CO)cc(=NNc2ccc(S(=O)(=O)O)c3ccccc23)c(=O)c1=NNc1ccc(S(=O)(=O)O)c2ccccc12,0
ClP(c1ccccc1)c1ccccc1,0
CC1CO1,0
C[Si](C)O[Si](C)C,0
CCOC(C)=NO,0
O=S(=O)(O)OOS(=O)(=O)O,0
c1ccc(-c2cnc(-c3ccccc3)o2)cc1,0
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(CON=C(c2ccc(Cl)cc2)C2CC2)cc1,1
O=S(=O)(O)O,0
O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C1c2cc(Br)c(O)c(Br)c2Oc2c1cc(Br)c(O)c2Br,0
CNC,0
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2,0
COC(=O)Cl,0
c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,0
O=S(=O)(F)NS(=O)(=O)F,0
CCCCCCCCCCC=CC(CC(=O)O)C(=O)O,0
O=[N+]([O-])c1ccccc1F,0
ClC=CC[N+]12CN3CN(CN(C3)C1)C2,0
CC(C)N(c1n[n+](C)c(N=Nc2ccc(N(C)C)cc2)s1)C(C)C,0
Fc1cccc(F)c1CCl,0
CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)=NO)=CCC32)C1,1
FC(F)(F)c1cccc(C(c2ccccc2)(c2ccccc2)n2cncn2)c1,1
C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,1
CCN(CC)c1ccc2nc3ccc(=[N+](CC)CC)cc-3oc2c1,0
NC(Cc1cnc[nH]1)C(=O)O,0
Cc1ccc(N2C(=O)N(c3ccc(C)c(N=C=O)c3)C2=O)cc1N=C=O,0
O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0
O=C(O)CC(NCCNC(CC(=O)O)C(=O)O)C(=O)O,0
Clc1ncc(Br)c(Cl)n1,0
NC(=O)N=C(N)N,0
COc1cc(C(=O)OCCN2CCNCC2CCCN2c3ccccc3Sc3ccc(Cl)cc32)cc(OC)c1OC,1
O=C1NS(=O)(=O)c2ccccc21,0
Fc1cccc(C(F)(F)F)n1,0
CNC(=O)ON=C(C)SC,0
O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
[2H]C(Cl)(Cl)Cl,0
C[N+](C)(C)CCO,0
CN,0
C[Si](Cl)(Cl)c1ccccc1,0
CC1(C)C2CCC1(CS(=O)(=O)OS13CCCC1C1C(C3)N(Cc3ccccc3)C(=O)N1Cc1ccccc1)C(=O)C2,1
CC1CCC2N(C1)C1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2(C)O,1
Ic1[nH]c(I)c(I)c1I,1
Clc1ccc(OCCOP(OCCOc2ccc(Cl)cc2Cl)OCCOc2ccc(Cl)cc2Cl)c(Cl)c1,1
c1ccc2c(c1)c(Cc1cn(CN3CCCCC3)c3ccccc13)cn2CN1CCCCC1,1
c1ccc2c(c1)=c1ccc3c4c(ccc=2c14)=c1ccccc1=3,1
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,1
FC(Cl)=C(F)C(F)(Cl)C(F)(Cl)C(F)(Cl)C(F)(Cl)Cl,1
COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,1
CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,1
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1=NCCc2cc(OC)c(OC)cc21,1
COc1c(Cl)c(C)c2c(c1Cl)OC(=O)c1c(C)c(Cl)c(O)c(Cl)c1O2,1
IC(I)C(I)(I)I,1
Brc1cc(Br)cc(Br)c1,1
Fc1c(F)c(F)c2c(F)c(C(Cl)(Cl)Cl)c(F)c(F)c2c1F,1
FC(F)(F)C1(C(F)(F)F)SC(C(F)(F)F)(C(F)(F)F)S1,1
CC1(C)SC(C)(C)SC(C)(C)S1,1
C1CCC2C(C1)CCC1NC3C4CCCCC4SCC3C12,1
FC(F)(F)C(F)(F)C(F)(F)c1nc(C(F)(F)C(F)(F)C(F)(F)F)nc(C(F)(F)C(F)(F)C(F)(F)F)n1,1
Clc1ccc2c(c1)N=Nc1cc(Cl)ccc1C2,1
CC1=CC(=O)OC12CC1C(C)(CCC3C(C)(C)CCCC31C)O2,1
COC(=O)C=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1(O)C(C)(C)CCCC1(C)O,1
CN(C)c1ccc(C(=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,1
Cc1cc2sc(-c3cc4sc(-c5cc6scnc6c(S)c5N)nc4c(S)c3N)nc2c(S)c1N,1
CC(C)CCCC(C)C1CCC2C3CCC4(C#N)CC(=O)CCC4(C)C3CCC12C,1
CN(C)P(=S)(Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)N(C)C,1
CC(C)CCCC(C)C1CCC2C3CCC4CC(=O)C(Br)CC4(C)C3CCC12C,1
OC(C#CC(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,1
ICC(CI)(CI)CI,1
CC(C)(c1ccc(OC(F)(F)C(F)F)cc1)c1ccc(OC(F)(F)C(F)F)cc1,1
COc1ccc2c(c1)c(CC(=O)OC(C)(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,1
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,1
CN(C)CCCC1c2ccccc2CCc2ccc(Cl)cc21,1
N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,1
Cc1c(I)cc(I)c(O)c1I,1
O=C(Cl)CC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1
c1ccc(N2CCN(c3ccccc3)C2=C2N(c3ccccc3)CCN2c2ccccc2)cc1,1
O=C(CCC(c1ccc(Cl)cc1)C1CCCN1C(=O)N1CCCCC1)c1ccc(F)cc1,1
CCCCCCC(C)C(Cl)(CC)C(=O)Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1
ClC(=C(Cl)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,1
CC(C)CCCC(C)C1CCC2C3CCC4CC(=O)C(Cl)CC4(C)C3CCC12C,1
O=S1(=O)Oc2ccccc2C1(c1c(Cl)cc(O)cc1Br)c1c(Cl)cc(O)cc1Br,1
CCC(c1ccc(OCCN(CC)CC)cc1)C(CC)c1ccc(OCCN(CC)CC)cc1,1
CCP(=S)(OC)OCc1cc(Cl)c(Br)cc1Cl,1
Cc1c(C)c(CCl)c(C)c(C)c1CCl,1
ClC(Cl)=C(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,1
CON=C1CCC2(C)C(CCC3C2CCC2(C)C(C(C)=NOC)CCC32)C1,1
BrCc1c(CBr)c(CBr)c(CBr)c(CBr)c1CBr,1
O=C1CC(Nc2ccc(Cl)cc2Cl)=NN1c1c(Cl)cc(Cl)cc1Cl,1
CCCN1C(=O)C(=CC=C2N(CC)c3cc(Cl)c(Cl)cc3N2CC)N(C)C1=S,1
COc1nc(OC)nc(-c2ccc3ccc4cccc5ccc2c3c45)n1,1
C=CCc1ccc(OCc2nc3ccccc3c(=O)n2-c2ccccc2C)c(OC)c1,1
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,1
CN(C)C(C)(OCCc1ccccc1)c1ccc(Br)cc1,1
Cc1ccc2c(Br)cc(Br)c(OC(=O)c3ccccc3)c2n1,1
Clc1ccc(C[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1Cl,1
CC(C)c1c(O)ccc2c1C(=O)C=C1C(C)(C)CCCC12C,1
Cc1cc(O)cc(C(C)(C)C)c1Sc1c(C)cc(O)cc1C(C)(C)C,1
O=c1c2cc(Br)c3cccc4c(=O)c5cc(Br)c6cccc1c6c5-c2c34,1
ClCCN(CCCl)c1ccc(CCNc2ccnc3cc(Cl)ccc23)cc1,1
COP(=S)(OC)SCC(C)CSC1C2C(Cl)=C(Cl)C(Cl)(C1Cl)C2(Cl)Cl,1
CCOC(=O)C1=C(Nc2ccc(C)cc2)CC(C(=O)OCC)=C(Nc2ccc(C)cc2)C1,1
Clc1ccccc1CCNC1CCC(NCCc2ccccc2Cl)CC1,1
Cc1c(N=C2NC(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c32)cccc1N=C1NC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,1
CC1=NN(c2ccccc2)C(=O)C1=CC=C1N(C)c2ccccc2C1(C)C,1
Clc1ccccc1OB(Oc1ccccc1Cl)Oc1ccccc1Cl,1
N#Cc1cc(-n2nc3ccc4ccccc4c3n2)ccc1C=Cc1ccc(Cl)cc1,1
CCP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,1
ClC(Cl)(Cl)C(c1cccs1)c1cccs1,1
Cc1cc(Nc2cccc(Cl)c2)cc2sc3c(Cl)c(=O)c(Cl)c(Cl)c-3nc12,1
O=c1c(-c2ccccc2)c2c3ccccc3n3c(=O)c(-c4ccccc4)c4c5ccccc5n1c4c23,1
O=C1c2ccccc2C(=O)c2c1ccc1nc(-c3nc4ccc5c(c4s3)C(=O)c3ccccc3C5=O)sc21,1
ClC(Cl)(Cl)C(Cl)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,1
O=C1C(=C2Sc3c(cc(Cl)c(Cl)c3Cl)C2=O)Nc2c(Cl)cc(Cl)cc21,1
ClC1=C(Cl)C(Cl)(C(Cl)(Cl)Cl)C(Cl)=C1Cl,1
CN(C)CCCNS(=O)(=O)c1cc(-n2nc3ccc4ccccc4c3n2)ccc1C=Cc1ccccc1,1
Clc1ccc2c(c1)Cc1cc(Cl)cc(Cl)c1-2,1
Clc1cc2c(cc1Cl)-c1cc(Cl)c(Cl)cc1-2,1
CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,1
Clc1ccccc1C=NCC1CCC(CN=Cc2ccccc2Cl)CC1,1
CCNP(=S)(OCC)Oc1ccc(C(C)(C)C)cc1Cl,1
CC(C)(Nc1ccnc2cc(Cl)ccc12)N1CCN(C(C)(C)Nc2ccnc3cc(Cl)ccc23)CC1,1
OC(c1ccc(Cl)cc1)(c1ccccc1Cl)C(Cl)(Cl)Cl,1
Clc1ccc(C2CCc3ccccc3NC2Cc2ncc[nH]2)cc1,1
Clc1c(Cl)c(Br)c(Br)c(Cl)c1Br,1
ClC(Cl)(c1ccccc1)C(Cl)(Cl)c1ccccc1,1
CCN(CC)CCSC(=S)N1c2ccccc2Sc2ccccc21,1
c1ccc(Cc2nc(Cc3ccccc3)nc(Cc3ccccc3)n2)cc1,1
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)COC(=O)CCc3ccccc3)CCC12,1
OCCNc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(NCCO)c(Cl)c2Cl)c(Cl)c1Cl,1
C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1,1
Cc1ccc(S(=O)(=O)N=C2C=CC(=[N+]=[N-])C=C2S(=O)(=O)Nc2cc(C)ccc2C)cc1,1
CC(C)(C)C#CC(C)(C)C(C)(C)C#CC(C)(C)C,1
Fc1c(F)c(F)c(Sc2c(F)c(F)c(F)c(F)c2Br)c(Br)c1F,1
CCCOP(=S)(CC)SCOc1ccc(Cl)cc1Cl,1
Ic1sc(I)c(I)c1I,1
COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc(OC)cc3OC)cc2OC)cc1OC,1
Fc1c(F)c(F)c(Sc2c(F)c(F)c(F)c(F)c2I)c(I)c1F,1
O=[N+]([O-])c1ccc(NC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,1
CC(C)(c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1)c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,1
COC(=O)c1c(C)n(C)c2c1c1c(O)c3c(O)c(C)c4c(c32)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)N1)O4,1
c1ccc(N(CN(c2ccccc2)c2ccccc2)c2ccccc2)cc1,1
Cc1c(CC(Cl)Cl)cc(-c2ccccc2)c2ccccc12,1
COc1ccc(NC(=O)C2=Nc3ccc(OC)cc3C2(Cc2ccccc2)Cc2ccccc2)cc1,1
COc1ccc(N=C(C(=O)Nc2ccc(OC)cc2)C(=Cc2ccccc2)Cc2ccccc2)cc1,1
Cc1cc(C)c2c(c1)N=C(C(=O)NC(C)(C)C)C21CCCCC1,1
O=C1Oc2ccccc2C12c1ccc(Cl)cc1Oc1cc(NCc3ccccc3)ccc12,1
COc1cc(-c2ccc(N3NN(c4ccccc4)N=C3c3ccccc3)c(OC)c2)ccc1N1NN(c2ccccc2)N=C1c1ccccc1,1
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1
CC(C)(C)c1ccc(CN2CCN(CCSC(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,1
CC(C)(C)c1ccc(Oc2ccc(C(C)(C)C)cc2)cc1,1
Cc1cc(F)ccc1C(=O)Nc1cc(Cl)cc(-c2ccc(Cl)cc2)c1O,1
CC(=O)C12OC(C)(c3ccccc3)OC1CC1C3CCC4=CC(=O)CCC4(C)C3CCC12C,1
C#CC1(O)CCC2C3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)C3CCC21C,1
FC(F)=C(F)OC(F)(F)C(F)(Oc1c(F)c(F)c(F)c(F)c1F)C(F)(F)F,1
CC(C)CCCCCOC(=O)Cc1cc(Cl)c(Cl)cc1Cl,1
CCOP(=S)(CC)Oc1cc(Cl)c(I)cc1Cl,1
O=S(=O)(Cl)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,1
CCc1nc2ccccc2c(=O)n1-c1c(Cl)cccc1Cl,1
ClC(=NNc1c(Cl)cc(Cl)cc1Cl)c1ccccc1,1
O=C1OC(=O)c2cc(Oc3ccc(-c4ccc(Oc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,1
COc1ccc(C(SC(=S)OC(C)C)(SC(=S)OC(C)C)c2ccc(OC)cc2)cc1,1
Cc1ccc(-n2c(=O)n(-c3ccc(C)c(N=C=O)c3)c(=O)n(-c3ccc(C)c(N=C=O)c3)c2=O)cc1N=C=O,1
OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
Cn1c2ccc3ccccc3c2c2c3ccccc3ccc21,1
CCN(CC)c1ccc2c(c1)Oc1c(c(C)nn1-c1ccccc1)C21OC(=O)c2ccccc21,1
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,1
